"timeframe" "time" "price_in_usd"
"1D" "2024-08-27_15:43:20" 62330.5281179058
"1D" "2024-08-27_15:30:00" 62419.4822533269
"1D" "2024-08-27_15:25:00" 62445.5717969581
"1D" "2024-08-27_15:20:00" 62473.7159580162
"1D" "2024-08-27_15:15:00" 62502.6583305495
"1D" "2024-08-27_15:10:00" 62539.2276413112
"1D" "2024-08-27_15:05:00" 62474.9940607519
"1D" "2024-08-27_15:00:00" 62502.9072701182
"1D" "2024-08-27_14:55:00" 62486.8230109555
"1D" "2024-08-27_14:50:00" 62437.4264598072
"1D" "2024-08-27_14:45:00" 62420.5847895977
"1D" "2024-08-27_14:40:00" 62408.1930485589
"1D" "2024-08-27_14:35:00" 62321.4619794485
"1D" "2024-08-27_14:30:00" 62326.7207830367
"1D" "2024-08-27_14:25:00" 62300.0978596081
"1D" "2024-08-27_14:20:00" 62333.5377114783
"1D" "2024-08-27_14:15:00" 62350.9641144933
"1D" "2024-08-27_14:10:00" 62399.8219492486
"1D" "2024-08-27_14:05:00" 62358.9549267398
"1D" "2024-08-27_14:00:00" 62375.4897341809
"1D" "2024-08-27_13:55:00" 62319.396269557
"1D" "2024-08-27_13:50:00" 62407.0134116831
"1D" "2024-08-27_13:45:00" 62473.8251420035
"1D" "2024-08-27_13:40:00" 62494.43935256
"1D" "2024-08-27_13:35:00" 62590.6042075705
"1D" "2024-08-27_13:30:00" 62689.3218304286
"1D" "2024-08-27_13:25:00" 62635.8427688847
"1D" "2024-08-27_13:20:00" 62658.2831113391
"1D" "2024-08-27_13:15:00" 62631.984036081
"1D" "2024-08-27_13:10:00" 62795.0254038698
"1D" "2024-08-27_13:05:00" 62933.6124645181
"1D" "2024-08-27_13:00:00" 62927.588523444
"1D" "2024-08-27_12:55:00" 62924.9047954893
"1D" "2024-08-27_12:50:00" 62919.9005698807
"1D" "2024-08-27_12:45:00" 62888.4411741975
"1D" "2024-08-27_12:40:00" 62840.7763465981
"1D" "2024-08-27_12:35:00" 62832.0747672261
"1D" "2024-08-27_12:30:00" 62816.7473593883
"1D" "2024-08-27_12:25:00" 62801.6016078447
"1D" "2024-08-27_12:20:00" 62794.0213369837
"1D" "2024-08-27_12:15:00" 62734.2321407442
"1D" "2024-08-27_12:10:00" 62756.8442721722
"1D" "2024-08-27_12:05:00" 62724.7478202136
"1D" "2024-08-27_12:00:00" 62736.0003967065
"1D" "2024-08-27_11:55:00" 62778.2863196399
"1D" "2024-08-27_11:50:00" 62783.2256539339
"1D" "2024-08-27_11:45:00" 62857.4949026213
"1D" "2024-08-27_11:40:00" 62899.6341161844
"1D" "2024-08-27_11:35:00" 62999.76323323
"1D" "2024-08-27_11:30:00" 62905.7598546478
"1D" "2024-08-27_11:25:00" 62874.037893316
"1D" "2024-08-27_11:20:00" 62851.3402006548
"1D" "2024-08-27_11:15:00" 62828.9598218694
"1D" "2024-08-27_11:10:00" 62927.2966697277
"1D" "2024-08-27_11:05:00" 62946.1424988244
"1D" "2024-08-27_11:00:00" 62906.5722196185
"1D" "2024-08-27_10:55:00" 62861.4141600257
"1D" "2024-08-27_10:50:00" 62842.0348087126
"1D" "2024-08-27_10:45:00" 62884.9891434137
"1D" "2024-08-27_10:40:00" 62843.6367648061
"1D" "2024-08-27_10:35:00" 62821.7945434444
"1D" "2024-08-27_10:30:00" 62780.3389038748
"1D" "2024-08-27_10:25:00" 62765.2289867888
"1D" "2024-08-27_10:20:00" 62791.4597887747
"1D" "2024-08-27_10:15:00" 62776.084928858
"1D" "2024-08-27_10:10:00" 62823.6250402316
"1D" "2024-08-27_10:05:00" 62881.9712408584
"1D" "2024-08-27_10:00:00" 62961.3334417969
"1D" "2024-08-27_09:55:00" 63044.7839761577
"1D" "2024-08-27_09:50:00" 63075.7543086377
"1D" "2024-08-27_09:45:00" 63094.3492716524
"1D" "2024-08-27_09:40:00" 63082.3523449254
"1D" "2024-08-27_09:35:00" 63084.7761261547
"1D" "2024-08-27_09:30:00" 63160.5815846845
"1D" "2024-08-27_09:25:00" 63151.5085621367
"1D" "2024-08-27_09:20:00" 63150.4651169487
"1D" "2024-08-27_09:15:00" 63155.3738564767
"1D" "2024-08-27_09:10:00" 63150.0311726115
"1D" "2024-08-27_09:05:00" 63174.98056913
"1D" "2024-08-27_09:00:00" 63130.8085867569
"1D" "2024-08-27_08:55:00" 63157.8340036933
"1D" "2024-08-27_08:50:00" 63148.8993509357
"1D" "2024-08-27_08:45:00" 63124.4860196602
"1D" "2024-08-27_08:40:00" 63111.6752670678
"1D" "2024-08-27_08:35:00" 63073.3939253568
"1D" "2024-08-27_08:30:00" 63052.2449425514
"1D" "2024-08-27_08:25:00" 63074.3542211017
"1D" "2024-08-27_08:20:00" 63091.4097656346
"1D" "2024-08-27_08:15:00" 63060.2872639826
"1D" "2024-08-27_08:10:00" 63045.765581973
"1D" "2024-08-27_08:05:00" 62982.8406631208
"1D" "2024-08-27_08:00:00" 62952.8386242
"1D" "2024-08-27_07:55:00" 62975.482382294
"1D" "2024-08-27_07:50:00" 62939.548847082
"1D" "2024-08-27_07:45:00" 62975.8494586682
"1D" "2024-08-27_07:40:00" 62966.6756494523
"1D" "2024-08-27_07:35:00" 62967.8886305026
"1D" "2024-08-27_07:30:00" 62985.6943508467
"1D" "2024-08-27_07:25:00" 62984.128773961
"1D" "2024-08-27_07:20:00" 62973.9499441541
"1D" "2024-08-27_07:15:00" 62923.6526503184
"1D" "2024-08-27_07:10:00" 62920.3255665724
"1D" "2024-08-27_07:05:00" 62911.6839137689
"1D" "2024-08-27_07:00:00" 62891.3271921407
"1D" "2024-08-27_06:55:00" 62830.3893611379
"1D" "2024-08-27_06:50:00" 62840.0014726922
"1D" "2024-08-27_06:45:00" 62764.0796088172
"1D" "2024-08-27_06:40:00" 62799.9840648767
"1D" "2024-08-27_06:35:00" 62822.426633536
"1D" "2024-08-27_06:30:00" 62942.8106942673
"1D" "2024-08-27_06:25:00" 62953.3596341596
"1D" "2024-08-27_06:20:00" 62940.0202813391
"1D" "2024-08-27_06:15:00" 62955.3700331451
"1D" "2024-08-27_06:10:00" 63099.7339554263
"1D" "2024-08-27_06:05:00" 63107.3218232018
"1D" "2024-08-27_06:00:00" 63089.1631711629
"1D" "2024-08-27_05:55:00" 63143.1509126043
"1D" "2024-08-27_05:50:00" 63178.1488207226
"1D" "2024-08-27_05:45:00" 63178.7322469326
"1D" "2024-08-27_05:40:00" 63087.5957057764
"1D" "2024-08-27_05:35:00" 63062.8347009618
"1D" "2024-08-27_05:30:00" 63001.6663083819
"1D" "2024-08-27_05:25:00" 63122.9549602087
"1D" "2024-08-27_05:20:00" 63077.6401423017
"1D" "2024-08-27_05:15:00" 63084.554939945
"1D" "2024-08-27_05:10:00" 63141.1860700365
"1D" "2024-08-27_05:05:00" 63196.899767586
"1D" "2024-08-27_05:00:00" 63139.1587897505
"1D" "2024-08-27_04:55:00" 63131.2757068682
"1D" "2024-08-27_04:50:00" 63100.3569270249
"1D" "2024-08-27_04:45:00" 62968.237365039
"1D" "2024-08-27_04:35:00" 62763.210377291
"1D" "2024-08-27_04:30:00" 62727.7817292188
"1D" "2024-08-27_04:25:00" 62796.6056220469
"1D" "2024-08-27_04:20:00" 62958.972711553
"1D" "2024-08-27_04:15:00" 63044.9851409059
"1D" "2024-08-27_04:10:00" 63026.4843020177
"1D" "2024-08-27_04:05:00" 62921.9017401166
"1D" "2024-08-27_04:00:00" 62966.2827179549
"1D" "2024-08-27_03:55:00" 62953.5968598984
"1D" "2024-08-27_03:50:00" 62954.5455999693
"1D" "2024-08-27_03:45:00" 62876.7286305327
"1D" "2024-08-27_03:40:00" 62874.2802803987
"1D" "2024-08-27_03:35:00" 62846.5795371394
"1D" "2024-08-27_03:30:00" 62856.5841463225
"1D" "2024-08-27_03:25:00" 62889.9626294747
"1D" "2024-08-27_03:20:00" 62915.4389607737
"1D" "2024-08-27_03:15:00" 62987.9255421746
